uf,Ano,Frase,Contagem,Porcentagem
CE,2020,Morte por intervenção de Agente do Estado,76,6.99
CE,2020,Morte no trânsito,75,6.9
CE,2020,Feminicídio,69,6.35
CE,2020,Lesão corporal seguida de morte,69,6.35
CE,2020,Suicídio ,69,6.35
CE,2020,Mortes a esclarecer,63,5.8
CE,2020,Suicídio,49,4.51
CE,2020,Morte de Agente do Estado,15,1.38
CE,2021,Homicídio doloso,129,11.06
CE,2021,Lesão corporal seguida de morte,87,7.46
CE,2021,Feminicídio,86,7.38
CE,2021,Morte no trânsito,78,6.69
CE,2021,Morte por intervenção de Agente do Estado,63,5.4
CE,2021,Mortes a esclarecer,61,5.23
CE,2021,Suicídio,55,4.72
CE,2021,Suicídio ,52,4.46
CE,2021,Morte de Agente do Estado,15,1.29
CE,2022,Lesão corporal seguida de morte,93,8.8
CE,2022,Feminicídio,75,7.1
CE,2022,Homicídio doloso,74,7.0
CE,2022,Morte no trânsito,73,6.91
CE,2022,Mortes a esclarecer,65,6.15
CE,2022,Suicídio,61,5.77
CE,2022,Morte por intervenção de Agente do Estado,51,4.82
CE,2022,Suicídio ,49,4.64
CE,2022,Morte de Agente do Estado,12,1.14
CE,2023,Feminicídio,114,10.31
CE,2023,Homicídio doloso,114,10.31
CE,2023,Morte no trânsito,95,8.59
CE,2023,Lesão corporal seguida de morte,93,8.41
CE,2023,Morte por intervenção de Agente do Estado,51,4.61
CE,2023,Mortes a esclarecer,49,4.43
CE,2023,Suicídio,47,4.25
CE,2023,Suicídio ,39,3.53
CE,2023,Morte de Agente do Estado,12,01.08
CE,2024,Homicídio doloso,117,10.21
CE,2024,Morte no trânsito,117,10.21
CE,2024,Lesão corporal seguida de morte,99,8.64
CE,2024,Feminicídio,93,8.12
CE,2024,Suicídio ,54,4.71
CE,2024,Suicídio,53,4.62
CE,2024,Morte por intervenção de Agente do Estado,47,4.1
CE,2024,Mortes a esclarecer,44,3.84
CE,2024,Morte de Agente do Estado,19,1.66
DF,2015,Feminicídio,121,10.77
DF,2015,Homicídio doloso,114,10.14
DF,2015,Morte no trânsito,91,8.1
DF,2015,Lesão corporal seguida de morte,73,6.49
DF,2015,Morte por intervenção de Agente do Estado,71,6.32
DF,2015,Mortes a esclarecer,58,5.16
DF,2015,Suicídio ,47,4.18
DF,2015,Suicídio,45,4.0
DF,2015,Morte de Agente do Estado,17,1.51
DF,2016,Feminicídio,122,10.09
DF,2016,Morte no trânsito,119,9.84
DF,2016,Homicídio doloso,106,8.77
DF,2016,Lesão corporal seguida de morte,84,6.95
DF,2016,Morte por intervenção de Agente do Estado,81,6.7
DF,2016,Mortes a esclarecer,55,4.55
DF,2016,Suicídio ,53,4.38
DF,2016,Suicídio,50,4.14
DF,2016,Morte de Agente do Estado,14,1.16
DF,2017,Morte no trânsito,129,11.44
DF,2017,Feminicídio,111,9.84
DF,2017,Homicídio doloso,109,9.66
DF,2017,Lesão corporal seguida de morte,65,5.76
DF,2017,Mortes a esclarecer,63,5.59
DF,2017,Suicídio ,55,4.88
DF,2017,Morte por intervenção de Agente do Estado,52,4.61
DF,2017,Suicídio,44,3.9
DF,2017,Morte de Agente do Estado,12,01.06
DF,2018,Morte no trânsito,103,9.13
DF,2018,Homicídio doloso,94,8.33
DF,2018,Lesão corporal seguida de morte,94,8.33
DF,2018,Feminicídio,72,6.38
DF,2018,Suicídio ,64,5.67
DF,2018,Morte por intervenção de Agente do Estado,63,5.59
DF,2018,Mortes a esclarecer,57,05.05
DF,2018,Suicídio,45,3.99
DF,2018,Morte de Agente do Estado,11,0.98
DF,2019,Morte no trânsito,118,10.51
DF,2019,Feminicídio,106,9.44
DF,2019,Lesão corporal seguida de morte,86,7.66
DF,2019,Morte por intervenção de Agente do Estado,76,6.77
DF,2019,Homicídio doloso,70,6.23
DF,2019,Suicídio ,57,05.08
DF,2019,Suicídio,54,4.81
DF,2019,Mortes a esclarecer,38,3.38
DF,2019,Morte de Agente do Estado,16,1.42
DF,2020,Morte no trânsito,130,11.24
DF,2020,Lesão corporal seguida de morte,85,7.35
DF,2020,Homicídio doloso,83,7.17
DF,2020,Feminicídio,72,6.22
DF,2020,Suicídio ,66,5.7
DF,2020,Mortes a esclarecer,63,5.45
DF,2020,Morte por intervenção de Agente do Estado,57,4.93
DF,2020,Suicídio,52,4.49
DF,2020,Morte de Agente do Estado,14,1.21
DF,2021,Homicídio doloso,118,10.82
DF,2021,Lesão corporal seguida de morte,78,7.15
DF,2021,Morte no trânsito,78,7.15
DF,2021,Feminicídio,77,07.06
DF,2021,Suicídio ,59,5.41
DF,2021,Morte por intervenção de Agente do Estado,56,5.13
DF,2021,Suicídio,55,05.04
DF,2021,Mortes a esclarecer,37,3.39
DF,2021,Morte de Agente do Estado,12,1.1
DF,2022,Morte no trânsito,102,9.38
DF,2022,Lesão corporal seguida de morte,100,9.2
DF,2022,Homicídio doloso,74,6.81
DF,2022,Suicídio ,69,6.35
DF,2022,Morte por intervenção de Agente do Estado,69,6.35
DF,2022,Feminicídio,68,6.26
DF,2022,Suicídio,68,6.26
DF,2022,Mortes a esclarecer,47,4.32
DF,2022,Morte de Agente do Estado,16,1.47
DF,2023,Morte no trânsito,122,10.92
DF,2023,Feminicídio,115,10.3
DF,2023,Homicídio doloso,104,9.31
DF,2023,Lesão corporal seguida de morte,81,7.25
DF,2023,Suicídio,62,5.55
DF,2023,Mortes a esclarecer,57,5.1
DF,2023,Morte por intervenção de Agente do Estado,48,4.3
DF,2023,Suicídio ,44,3.94
DF,2023,Morte de Agente do Estado,15,1.34
